,survival,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,embark_town,alive,alone,family_size
65,1,3,male,0.5235121107266435,1,1,0.2483870757520463,C,Third,man,True,Cherbourg,yes,False,3
66,1,2,female,0.5098039215686274,0,0,0.17106772326781713,S,Second,woman,False,Southampton,yes,True,1
67,0,3,male,0.3137254901960784,0,0,0.13291636254626976,S,Third,man,True,Southampton,no,True,1
68,1,3,female,0.2745098039215686,4,2,0.12911540065690008,S,Third,woman,False,Southampton,yes,False,7
69,0,3,male,0.4509803921568627,2,0,0.14113087169594912,S,Third,man,True,Southampton,no,False,3
70,0,2,male,0.5686274509803921,0,0,0.17106772326781713,S,Second,man,True,Southampton,no,True,1
71,0,3,female,0.2549019607843137,5,2,0.7641024972629165,S,Third,woman,False,Southampton,no,False,8
73,0,3,male,0.4509803921568627,1,0,0.23549019863406498,C,Third,man,True,Cherbourg,no,False,2
74,1,3,male,0.5686274509803921,0,0,0.9204388457327565,S,Third,man,True,Southampton,yes,True,1
75,0,3,male,0.4313725490196078,0,0,0.12463505552369535,S,Third,man,True,Southampton,no,True,1
79,1,3,female,0.5294117647058824,0,0,0.20324474740628748,S,Third,woman,False,Southampton,yes,True,1
80,0,3,male,0.37254901960784315,0,0,0.1466294770867004,S,Third,man,True,Southampton,no,True,1
81,1,3,male,0.5098039215686274,0,0,0.15477555914707264,S,Third,man,True,Southampton,yes,True,1
82,1,3,female,0.5235121107266435,0,0,0.1268752280902977,Q,Third,woman,False,Queenstown,yes,True,1
83,0,1,male,0.4901960784313726,0,0,0.7673609300870654,S,First,man,True,Southampton,no,True,1
84,1,2,female,0.2745098039215686,0,0,0.17106772326781713,S,Second,woman,False,Southampton,yes,True,1
85,1,3,female,0.5882352941176471,3,0,0.25823080131380016,S,Third,woman,False,Southampton,yes,False,4
86,0,3,male,0.2549019607843137,1,3,0.5600431416505918,S,Third,man,True,Southampton,no,False,5
89,0,3,male,0.4117647058823529,0,0,0.13115192117199315,S,Third,man,True,Southampton,no,True,1
90,0,3,male,0.5098039215686274,0,0,0.13115192117199315,S,Third,man,True,Southampton,no,True,1
91,0,3,male,0.3333333333333333,0,0,0.12796191543715135,S,Third,man,True,Southampton,no,True,1
92,0,1,male,0.8431372549019608,1,0,0.9966731400865441,S,First,man,True,Southampton,no,False,2
93,0,3,male,0.4509803921568627,1,2,0.33521127678431784,S,Third,man,True,Southampton,no,False,4
98,1,2,female,0.6078431372549019,0,1,0.37471977477712326,S,Second,woman,False,Southampton,yes,False,2
99,0,2,male,0.6078431372549019,1,0,0.4235962671393567,S,Second,man,True,Southampton,no,False,2
100,0,3,female,0.4901960784313726,0,0,0.12863966946457434,S,Third,woman,False,Southampton,no,True,1
103,0,3,male,0.5882352941176471,0,0,0.14099564673374695,S,Third,man,True,Southampton,no,True,1
104,0,3,male,0.6666666666666666,2,0,0.12911540065690008,S,Third,man,True,Southampton,no,False,3
105,0,3,male,0.4901960784313726,0,0,0.12863966946457434,S,Third,man,True,Southampton,no,True,1
106,1,3,female,0.3529411764705882,0,0,0.12463505552369535,S,Third,woman,False,Southampton,yes,True,1
107,1,3,male,0.5235121107266435,0,0,0.1266715760387884,S,Third,man,True,Southampton,yes,True,1
108,0,3,male,0.6862745098039216,0,0,0.12863966946457434,S,Third,man,True,Southampton,no,True,1
109,1,3,female,0.5235121107266435,1,0,0.3934557635159794,Q,Third,woman,False,Queenstown,yes,False,2
110,0,1,male,0.8627450980392156,0,0,0.8471925342787134,S,First,man,True,Southampton,no,True,1
111,0,3,female,0.22549019607843135,1,0,0.23549019863406498,C,Third,child,False,Cherbourg,no,False,2
112,0,3,male,0.37254901960784315,0,0,0.13115192117199315,S,Third,man,True,Southampton,no,True,1
113,0,3,female,0.3333333333333333,1,0,0.1600705124863146,S,Third,woman,False,Southampton,no,False,2
114,0,3,female,0.2745098039215686,0,0,0.23555699650696002,C,Third,woman,False,Cherbourg,no,True,1
115,0,3,male,0.3529411764705882,0,0,0.12911540065690008,S,Third,man,True,Southampton,no,True,1
117,0,2,male,0.5098039215686274,1,0,0.34213544653563427,S,Second,man,True,Southampton,no,False,2
122,0,2,male,0.5784313725490196,1,0,0.4899184088420833,C,Second,man,True,Cherbourg,no,False,2
123,1,2,female,0.5784313725490196,0,0,0.21179813356967836,S,Second,woman,False,Southampton,yes,True,1
125,1,3,male,0.1764705882352941,1,0,0.1831516213961733,C,Third,child,False,Cherbourg,yes,False,2
126,0,3,male,0.5235121107266435,0,0,0.12626427193576978,Q,Third,man,True,Queenstown,no,True,1
127,1,3,male,0.4117647058823529,0,0,0.11635374850112092,S,Third,man,True,Southampton,yes,True,1
128,1,3,female,0.5235121107266435,1,1,0.3642650930608415,C,Third,woman,False,Cherbourg,yes,False,3
129,0,3,male,0.8235294117647058,0,0,0.11363784474219281,S,Third,man,True,Southampton,no,True,1
130,0,3,male,0.5882352941176471,0,0,0.12863966946457434,C,Third,man,True,Cherbourg,no,True,1
131,0,3,male,0.3333333333333333,0,0,0.11485975705124864,S,Third,man,True,Southampton,no,True,1
132,0,3,female,0.8627450980392156,1,0,0.2362363797507951,S,Third,woman,False,Southampton,no,False,2
134,0,2,male,0.4313725490196078,0,0,0.21179813356967836,S,Second,man,True,Southampton,no,True,1
135,0,2,male,0.39215686274509803,0,0,0.24512864292789743,C,Second,man,True,Cherbourg,no,True,1
136,1,1,female,0.3137254901960784,0,2,0.42821183723476364,S,First,woman,False,Southampton,yes,False,3
137,0,1,male,0.6666666666666666,1,0,0.8651139148115323,S,First,man,True,Southampton,no,False,2
138,0,3,male,0.2549019607843137,0,0,0.15015998905166572,S,Third,man,True,Southampton,no,True,1
140,0,3,female,0.5235121107266435,0,2,0.2483870757520463,C,Third,woman,False,Cherbourg,no,False,3
141,1,3,female,0.37254901960784315,0,0,0.12626427193576978,S,Third,woman,False,Southampton,yes,True,1
142,1,3,female,0.4117647058823529,1,0,0.25823080131380016,S,Third,woman,False,Southampton,yes,False,2
143,0,3,male,0.3137254901960784,0,0,0.1099721078150253,Q,Third,man,True,Queenstown,no,True,1
144,0,2,male,0.2941176470588235,0,0,0.18735988738856163,S,Second,man,True,Southampton,no,True,1
145,0,2,male,0.3137254901960784,1,1,0.59873703143736,S,Second,man,True,Southampton,no,False,3
146,1,3,male,0.47058823529411764,0,0,0.1270104530524999,S,Third,man,True,Southampton,yes,True,1
147,0,3,female,0.1176470588235294,2,2,0.5600431416505918,S,Third,child,False,Southampton,no,False,5
148,0,2,male,0.6568627450980392,0,2,0.4235962671393567,S,Second,man,True,Southampton,no,False,3
149,0,2,male,0.7647058823529411,0,0,0.21179813356967836,S,Second,man,True,Southampton,no,True,1
150,0,2,male,0.9411764705882353,0,0,0.20405935561232472,S,Second,man,True,Southampton,no,True,1
153,0,3,male,0.7352941176470588,0,2,0.2362363797507951,S,Third,man,True,Southampton,no,False,3
154,0,3,male,0.5235121107266435,0,0,0.11913645013294408,S,Third,man,True,Southampton,no,True,1
155,0,1,male,0.9411764705882353,0,1,1.0,C,First,man,True,Cherbourg,no,False,2
156,1,3,female,0.2549019607843137,0,0,0.12599219279495336,Q,Third,woman,False,Queenstown,yes,True,1
157,0,3,male,0.5294117647058824,0,0,0.13115192117199315,S,Third,man,True,Southampton,no,True,1
158,0,3,male,0.5235121107266435,0,0,0.14113087169594912,S,Third,man,True,Southampton,no,True,1
160,0,3,male,0.803921568627451,0,1,0.2623038423439863,S,Third,man,True,Southampton,no,False,2
161,1,2,female,0.7254901960784313,0,0,0.2566015849017257,S,Second,woman,False,Southampton,yes,True,1
162,0,3,male,0.4509803921568627,0,0,0.1266715760387884,S,Third,man,True,Southampton,no,True,1
163,0,3,male,0.2745098039215686,0,0,0.14113087169594912,S,Third,man,True,Southampton,no,True,1
165,1,3,male,0.1176470588235294,0,2,0.3343966685782806,S,Third,child,False,Southampton,yes,False,3
166,1,1,female,0.5235121107266435,0,1,0.8960690266409469,S,First,woman,False,Southampton,yes,False,2
167,0,3,female,0.8235294117647058,1,4,0.45455137896877124,S,Third,woman,False,Southampton,no,False,6
168,0,1,male,0.5235121107266435,0,0,0.4223743548303009,S,First,man,True,Southampton,no,True,1
169,0,3,male,0.4901960784313726,0,0,0.9204388457327565,S,Third,man,True,Southampton,no,True,1
171,0,3,male,0.0196078431372549,4,1,0.47450928001668324,Q,Third,child,False,Queenstown,no,False,6
175,0,3,male,0.2941176470588235,1,1,0.12796191543715135,S,Third,man,True,Southampton,no,False,3
176,0,3,male,0.5235121107266435,3,1,0.41490765601376367,S,Third,man,True,Southampton,no,False,5
177,0,1,female,0.9215686274509803,0,0,0.4677887623168761,C,First,woman,False,Cherbourg,no,True,1
178,0,2,male,0.5294117647058824,0,0,0.21179813356967836,S,Second,man,True,Southampton,no,True,1
179,0,3,male,0.6470588235294117,0,0,0.0,S,Third,man,True,Southampton,no,True,1
181,0,2,male,0.5235121107266435,0,0,0.24519707001720456,C,Second,man,True,Cherbourg,no,True,1
182,0,3,male,0.1176470588235294,4,2,0.5113703013398676,S,Third,child,False,Southampton,no,False,7
184,1,3,female,0.0196078431372549,0,2,0.3588349147593973,S,Third,child,False,Southampton,yes,False,3
185,0,1,male,0.5235121107266435,0,0,0.8146082060372244,S,First,man,True,Southampton,no,True,1
186,1,3,female,0.5235121107266435,1,0,0.25252854387153956,Q,Third,woman,False,Queenstown,yes,False,2
187,1,1,male,0.8235294117647058,0,0,0.43255695740576616,S,First,man,True,Southampton,yes,True,1
188,0,3,male,0.7254901960784313,1,1,0.25252854387153956,Q,Third,man,True,Queenstown,no,False,3
189,0,3,male,0.6470588235294117,0,0,0.12863966946457434,S,Third,man,True,Southampton,no,True,1
190,1,2,female,0.5686274509803921,0,0,0.21179813356967836,S,Second,woman,False,Southampton,yes,True,1
191,0,2,male,0.3137254901960784,0,0,0.21179813356967836,S,Second,man,True,Southampton,no,True,1
192,1,3,female,0.3137254901960784,1,0,0.12796191543715135,S,Third,woman,False,Southampton,yes,False,2
193,1,2,male,0.0,1,1,0.4235962671393567,S,Second,child,False,Southampton,yes,False,3
194,1,1,female,0.803921568627451,0,0,0.45163182315833383,C,First,woman,False,Cherbourg,yes,True,1
197,0,3,male,0.7647058823529411,0,1,0.13692260570356082,S,Third,man,True,Southampton,no,False,2
199,0,2,female,0.4117647058823529,0,0,0.21179813356967836,S,Second,woman,False,Southampton,no,True,1
200,0,3,male,0.4901960784313726,0,0,0.15477555914707264,S,Third,man,True,Southampton,no,True,1
202,0,3,male,0.6078431372549019,0,0,0.10583063969553205,S,Third,man,True,Southampton,no,True,1
203,0,3,male,0.8333333333333333,0,0,0.11771088577237893,C,Third,man,True,Cherbourg,no,True,1
204,1,3,male,0.2941176470588235,0,0,0.13115192117199315,S,Third,man,True,Southampton,yes,True,1
206,0,3,male,0.5686274509803921,1,0,0.25823080131380016,S,Third,man,True,Southampton,no,False,2
207,1,3,male,0.4509803921568627,0,0,0.3060890334184871,C,Third,man,True,Cherbourg,yes,True,1
208,1,3,female,0.2549019607843137,0,0,0.12626427193576978,Q,Third,woman,False,Queenstown,yes,True,1
209,1,1,male,0.7254901960784313,0,0,0.5050570877430791,C,First,man,True,Cherbourg,yes,True,1
210,0,3,male,0.4117647058823529,0,0,0.11485975705124864,S,Third,man,True,Southampton,no,True,1
211,1,2,female,0.6274509803921569,0,0,0.34213544653563427,S,Second,woman,False,Southampton,yes,True,1
212,0,3,male,0.37254901960784315,0,0,0.11811818987539754,S,Third,man,True,Southampton,no,True,1
214,0,3,male,0.5235121107266435,1,0,0.12626427193576978,Q,Third,man,True,Queenstown,no,False,2
216,1,3,female,0.47058823529411764,0,0,0.12911540065690008,S,Third,woman,False,Southampton,yes,True,1
217,0,2,male,0.7647058823529411,1,0,0.4398884312601012,S,Second,man,True,Southampton,no,False,2
219,0,2,male,0.5294117647058824,0,0,0.17106772326781713,S,Second,man,True,Southampton,no,True,1
220,1,3,male,0.2549019607843137,0,0,0.13115192117199315,S,Third,man,True,Southampton,yes,True,1
221,0,2,male,0.47058823529411764,0,0,0.21179813356967836,S,Second,man,True,Southampton,no,True,1
222,0,3,male,0.9411764705882353,0,0,0.13115192117199315,S,Third,man,True,Southampton,no,True,1
225,0,3,male,0.37254901960784315,0,0,0.15233173452896095,S,Third,man,True,Southampton,no,True,1
226,1,2,male,0.3137254901960784,0,0,0.17106772326781713,S,Second,man,True,Southampton,yes,True,1
227,0,3,male,0.3431372549019608,0,0,0.11811818987539754,S,Third,man,True,Southampton,no,True,1
228,0,2,male,0.2941176470588235,0,0,0.21179813356967836,S,Second,man,True,Southampton,no,True,1
229,0,3,female,0.5235121107266435,3,1,0.41490765601376367,S,Third,woman,False,Southampton,no,False,5
231,0,3,male,0.5098039215686274,0,0,0.1266715760387884,S,Third,man,True,Southampton,no,True,1
233,1,3,female,0.0392156862745098,4,2,0.5113703013398676,S,Third,child,False,Southampton,yes,False,7
234,0,2,male,0.4117647058823529,0,0,0.17106772326781713,S,Second,man,True,Southampton,no,True,1
235,0,3,female,0.5235121107266435,0,0,0.12300583911162088,S,Third,woman,False,Southampton,no,True,1
236,0,2,male,0.803921568627451,1,0,0.4235962671393567,S,Second,man,True,Southampton,no,False,2
237,1,2,female,0.09803921568627451,0,2,0.42766930816954285,S,Second,child,False,Southampton,yes,False,3
238,0,2,male,0.3137254901960784,0,0,0.17106772326781713,S,Second,man,True,Southampton,no,True,1
239,0,2,male,0.5882352941176471,0,0,0.1999863145821386,S,Second,man,True,Southampton,no,True,1
240,0,3,female,0.5235121107266435,1,0,0.23549019863406498,C,Third,woman,False,Cherbourg,no,False,2
242,0,2,male,0.5098039215686274,0,0,0.17106772326781713,S,Second,man,True,Southampton,no,True,1
243,0,3,male,0.37254901960784315,0,0,0.11608166936030448,S,Third,man,True,Southampton,no,True,1
244,0,3,male,0.5294117647058824,0,0,0.11771088577237893,C,Third,man,True,Cherbourg,no,True,1
246,0,3,female,0.4313725490196078,0,0,0.1266715760387884,S,Third,woman,False,Southampton,no,True,1
247,1,2,female,0.4117647058823529,0,2,0.2362363797507951,S,Second,woman,False,Southampton,yes,False,3
248,1,1,male,0.6666666666666666,1,1,0.85622165163443,S,First,man,True,Southampton,yes,False,3
249,0,2,male,1.0,1,0,0.4235962671393567,S,Second,man,True,Southampton,no,False,2
250,0,3,male,0.5235121107266435,0,0,0.11811818987539754,S,Third,man,True,Southampton,no,True,1
251,0,3,female,0.5098039215686274,1,1,0.17045676711328922,S,Third,woman,False,Southampton,no,False,3
253,0,3,male,0.5294117647058824,1,0,0.2623038423439863,S,Third,man,True,Southampton,no,False,2
254,0,3,female,0.7450980392156863,0,2,0.32930536729054793,S,Third,woman,False,Southampton,no,False,3
255,1,3,female,0.5098039215686274,0,2,0.2483870757520463,C,Third,woman,False,Cherbourg,yes,False,3
259,1,2,female,0.9215686274509803,0,1,0.4235962671393567,S,Second,woman,False,Southampton,yes,False,2
261,1,3,male,0.0,4,2,0.5113703013398676,S,Third,child,False,Southampton,yes,False,7
263,0,1,male,0.7254901960784313,0,0,0.0,S,First,man,True,Southampton,no,True,1
264,0,3,female,0.5235121107266435,0,0,0.12626427193576978,Q,Third,woman,False,Queenstown,no,True,1
265,0,2,male,0.6470588235294117,0,0,0.17106772326781713,S,Second,man,True,Southampton,no,True,1
266,0,3,male,0.2549019607843137,4,1,0.6465952635420469,S,Third,man,True,Southampton,no,False,6
267,1,3,male,0.4313725490196078,1,0,0.1266715760387884,S,Third,man,True,Southampton,yes,False,2
270,0,1,male,0.5235121107266435,0,0,0.5050570877430791,S,First,man,True,Southampton,no,True,1
271,1,3,male,0.4313725490196078,0,0,0.0,S,Third,man,True,Southampton,yes,True,1
272,1,2,female,0.7450980392156863,0,1,0.31769720035451754,S,Second,woman,False,Southampton,yes,False,2
273,0,1,male,0.6666666666666666,0,1,0.4838772743861113,C,First,man,True,Cherbourg,no,False,2
276,0,3,female,0.8235294117647058,0,0,0.12626427193576978,S,Third,woman,False,Southampton,no,True,1
277,0,2,male,0.5235121107266435,0,0,0.0,S,Second,man,True,Southampton,no,True,1
278,0,3,male,0.07843137254901962,4,1,0.47450928001668324,Q,Third,child,False,Queenstown,no,False,6
279,1,3,female,0.6274509803921569,1,1,0.3299163234450759,S,Third,woman,False,Southampton,yes,False,3
281,0,3,male,0.4901960784313726,0,0,0.12796191543715135,S,Third,man,True,Southampton,no,True,1
282,0,3,male,0.2549019607843137,0,0,0.15477555914707264,S,Third,man,True,Southampton,no,True,1
283,1,3,male,0.3137254901960784,0,0,0.13115192117199315,S,Third,man,True,Southampton,yes,True,1
284,0,1,male,0.5235121107266435,0,0,0.4235962671393567,S,First,man,True,Southampton,no,True,1
285,0,3,male,0.5882352941176471,0,0,0.14113087169594912,C,Third,man,True,Cherbourg,no,True,1
286,1,3,male,0.5294117647058824,0,0,0.15477555914707264,S,Third,man,True,Southampton,yes,True,1
287,0,3,male,0.37254901960784315,0,0,0.12863966946457434,S,Third,man,True,Southampton,no,True,1
288,1,2,male,0.7647058823529411,0,0,0.21179813356967836,S,Second,man,True,Southampton,yes,True,1
289,1,3,female,0.37254901960784315,0,0,0.12626427193576978,Q,Third,woman,False,Queenstown,yes,True,1
292,0,2,male,0.6470588235294117,0,0,0.2097616130545853,C,Second,man,True,Cherbourg,no,True,1
293,0,3,female,0.4117647058823529,0,0,0.14418565246858872,S,Third,woman,False,Southampton,no,True,1
294,0,3,male,0.4117647058823529,0,0,0.12863966946457434,S,Third,man,True,Southampton,no,True,1
296,0,3,male,0.40196078431372545,0,0,0.11777931286168605,C,Third,man,True,Cherbourg,no,True,1
298,1,1,male,0.5235121107266435,0,0,0.4969110056827069,S,First,man,True,Southampton,yes,True,1
301,1,3,male,0.5235121107266435,2,0,0.37879281580730934,Q,Third,man,True,Queenstown,yes,False,3
302,0,3,male,0.3137254901960784,0,0,0.0,S,Third,man,True,Southampton,no,True,1
303,1,2,female,0.5235121107266435,0,0,0.20120822689119444,Q,Second,woman,False,Queenstown,yes,True,1
308,0,2,male,0.5294117647058824,1,0,0.39101193889786773,C,Second,man,True,Cherbourg,no,False,2
309,1,1,female,0.5294117647058824,0,0,0.9274998696626872,C,First,woman,False,Cherbourg,yes,True,1
312,0,2,female,0.4509803921568627,1,1,0.4235962671393567,S,Second,woman,False,Southampton,no,False,3
314,0,2,male,0.7843137254901961,1,1,0.42766930816954285,S,Second,man,True,Southampton,no,False,3
315,1,3,female,0.4509803921568627,0,0,0.12796191543715135,S,Third,woman,False,Southampton,yes,True,1
316,1,2,female,0.4117647058823529,1,0,0.4235962671393567,S,Second,woman,False,Southampton,yes,False,2
317,0,2,male,1.0,0,0,0.22809029769042283,S,Second,man,True,Southampton,no,True,1
321,0,3,male,0.47058823529411764,0,0,0.12863966946457434,S,Third,man,True,Southampton,no,True,1
322,1,2,female,0.5294117647058824,0,0,0.20120822689119444,Q,Second,woman,False,Queenstown,yes,True,1
323,1,2,female,0.37254901960784315,1,1,0.4724727595015902,S,Second,woman,False,Southampton,yes,False,3
327,1,2,female,0.6470588235294117,0,0,0.21179813356967836,S,Second,woman,False,Southampton,yes,True,1
328,1,3,female,0.5490196078431372,1,1,0.3343966685782806,S,Third,woman,False,Southampton,yes,False,3
329,1,1,female,0.2549019607843137,0,1,0.9446066419894689,C,First,woman,False,Cherbourg,yes,False,2
330,1,3,female,0.5235121107266435,2,0,0.37879281580730934,Q,Third,woman,False,Queenstown,yes,False,3
331,0,1,male,0.8333333333333333,0,0,0.4643266774412179,S,First,man,True,Southampton,no,True,1
333,0,3,male,0.2549019607843137,2,0,0.2932589541734008,S,Third,man,True,Southampton,no,False,3
338,1,3,male,0.8235294117647058,0,0,0.13115192117199315,S,Third,man,True,Southampton,yes,True,1
339,0,1,male,0.8235294117647058,0,0,0.5783718262864294,S,First,man,True,Southampton,no,True,1
342,0,2,male,0.4901960784313726,0,0,0.21179813356967836,S,Second,man,True,Southampton,no,True,1
344,0,2,male,0.6470588235294117,0,0,0.21179813356967836,S,Second,man,True,Southampton,no,True,1
345,1,2,female,0.4117647058823529,0,0,0.21179813356967836,S,Second,woman,False,Southampton,yes,True,1
346,1,2,female,0.7254901960784313,0,0,0.21179813356967836,S,Second,woman,False,Southampton,yes,True,1
347,1,3,female,0.5235121107266435,1,0,0.2623038423439863,S,Third,woman,False,Southampton,yes,False,2
348,1,3,male,0.0,1,1,0.2590454095198374,S,Third,child,False,Southampton,yes,False,3
349,0,3,male,0.7647058823529411,0,0,0.14113087169594912,S,Third,man,True,Southampton,no,True,1
350,0,3,male,0.39215686274509803,0,0,0.1502952140138679,S,Third,man,True,Southampton,no,True,1
351,0,1,male,0.5235121107266435,0,0,0.5702257442260571,S,First,man,True,Southampton,no,True,1
352,0,3,male,0.23529411764705882,1,1,0.11777931286168605,C,Third,child,False,Cherbourg,no,False,3
353,0,3,male,0.4313725490196078,1,0,0.2900005213492519,S,Third,man,True,Southampton,no,False,2
356,1,1,female,0.37254901960784315,0,1,0.8960690266409469,S,First,woman,False,Southampton,yes,False,2
357,0,2,female,0.6862745098039216,0,0,0.21179813356967836,S,Second,woman,False,Southampton,no,True,1
360,0,3,male,0.7254901960784313,1,4,0.45455137896877124,S,Third,man,True,Southampton,no,False,6
361,0,2,male,0.5098039215686274,1,0,0.45163182315833383,C,Second,man,True,Cherbourg,no,False,2
362,0,3,female,0.8235294117647058,0,1,0.23549019863406498,C,Third,woman,False,Cherbourg,no,False,2
363,0,3,male,0.6274509803921569,0,0,0.11485975705124864,S,Third,man,True,Southampton,no,True,1
365,0,3,male,0.5294117647058824,0,0,0.11811818987539754,S,Third,man,True,Southampton,no,True,1
367,1,3,female,0.5235121107266435,0,0,0.11777931286168605,C,Third,woman,False,Cherbourg,yes,True,1
370,1,1,male,0.4313725490196078,1,0,0.9032652755330797,C,First,man,True,Cherbourg,yes,False,2
371,0,3,male,0.2941176470588235,1,0,0.10583063969553205,S,Third,man,True,Southampton,no,False,2
372,0,3,male,0.3137254901960784,0,0,0.13115192117199315,S,Third,man,True,Southampton,no,True,1
374,0,3,female,0.0,3,1,0.3433573588446901,S,Third,child,False,Southampton,no,False,5
376,1,3,female,0.37254901960784315,0,0,0.11811818987539754,S,Third,woman,False,Southampton,yes,True,1
378,0,3,male,0.3333333333333333,0,0,0.06537230853448726,C,Third,man,True,Cherbourg,no,True,1
379,0,3,male,0.3137254901960784,0,0,0.1266715760387884,S,Third,man,True,Southampton,no,True,1
