,sepal_length,sepal_width,petal_length,petal_width,species,petal_area,species_first_letter
37,0.16666666666666674,0.7777777777777777,1.4,0.1,setosa,0.13999999999999999,s
38,0.0277777777777779,0.4444444444444444,1.3,0.2,setosa,0.26,s
39,0.2222222222222221,0.6666666666666665,1.5,0.2,setosa,0.30000000000000004,s
40,0.19444444444444442,0.7222222222222223,1.3,0.3,setosa,0.39,s
41,0.05555555555555558,0.05555555555555536,1.3,0.3,setosa,0.39,s
42,0.0277777777777779,0.5555555555555556,1.3,0.2,setosa,0.26,s
43,0.19444444444444442,0.7222222222222223,1.6,0.6,setosa,0.96,s
44,0.2222222222222221,0.8888888888888888,1.9,0.4,setosa,0.76,s
45,0.13888888888888884,0.4444444444444444,1.4,0.3,setosa,0.42,s
46,0.2222222222222221,0.8888888888888888,1.6,0.2,setosa,0.32000000000000006,s
47,0.08333333333333326,0.5555555555555556,1.4,0.2,setosa,0.27999999999999997,s
48,0.2777777777777777,0.8333333333333335,1.5,0.2,setosa,0.30000000000000004,s
49,0.19444444444444442,0.6111111111111109,1.4,0.2,setosa,0.27999999999999997,s
50,0.75,0.5555555555555556,4.7,1.4,versicolor,6.58,v
51,0.5833333333333335,0.5555555555555556,4.5,1.5,versicolor,6.75,v
52,0.7222222222222223,0.5,4.9,1.5,versicolor,7.3500000000000005,v
53,0.33333333333333326,0.05555555555555536,4.0,1.3,versicolor,5.2,v
54,0.6111111111111112,0.33333333333333326,4.6,1.5,versicolor,6.8999999999999995,v
55,0.38888888888888884,0.33333333333333326,4.5,1.3,versicolor,5.8500000000000005,v
56,0.5555555555555556,0.6111111111111109,4.7,1.6,versicolor,7.5200000000000005,v
57,0.16666666666666674,0.11111111111111094,3.3,1.0,versicolor,3.3,v
58,0.6388888888888888,0.38888888888888884,4.6,1.3,versicolor,5.9799999999999995,v
59,0.25,0.2777777777777779,3.9,1.4,versicolor,5.46,v
61,0.44444444444444464,0.4444444444444444,4.2,1.5,versicolor,6.300000000000001,v
62,0.4722222222222223,0.0,4.0,1.0,versicolor,4.0,v
63,0.4999999999999998,0.38888888888888884,4.7,1.4,versicolor,6.58,v
64,0.36111111111111094,0.38888888888888884,3.6,1.3,versicolor,4.680000000000001,v
65,0.6666666666666667,0.5,4.4,1.4,versicolor,6.16,v
66,0.36111111111111094,0.4444444444444444,4.5,1.5,versicolor,6.75,v
67,0.4166666666666665,0.2777777777777779,4.1,1.0,versicolor,4.1,v
68,0.5277777777777779,0.0,4.5,1.5,versicolor,6.75,v
69,0.36111111111111094,0.16666666666666652,3.9,1.1,versicolor,4.29,v
70,0.44444444444444464,0.5555555555555556,4.8,1.8,versicolor,8.64,v
71,0.4999999999999998,0.33333333333333326,4.0,1.3,versicolor,5.2,v
72,0.5555555555555556,0.16666666666666652,4.9,1.5,versicolor,7.3500000000000005,v
73,0.4999999999999998,0.33333333333333326,4.7,1.2,versicolor,5.64,v
74,0.5833333333333335,0.38888888888888884,4.3,1.3,versicolor,5.59,v
75,0.6388888888888888,0.4444444444444444,4.4,1.4,versicolor,6.16,v
76,0.6944444444444444,0.33333333333333326,4.8,1.4,versicolor,6.72,v
77,0.6666666666666667,0.4444444444444444,5.0,1.7,versicolor,8.5,v
78,0.4722222222222223,0.38888888888888884,4.5,1.5,versicolor,6.75,v
79,0.38888888888888884,0.22222222222222232,3.5,1.0,versicolor,3.5,v
80,0.33333333333333326,0.11111111111111094,3.8,1.1,versicolor,4.18,v
81,0.33333333333333326,0.11111111111111094,3.7,1.0,versicolor,3.7,v
82,0.4166666666666665,0.2777777777777779,3.9,1.2,versicolor,4.68,v
83,0.4722222222222223,0.2777777777777779,5.1,1.6,versicolor,8.16,v
84,0.3055555555555556,0.4444444444444444,4.5,1.5,versicolor,6.75,v
85,0.4722222222222223,0.6666666666666665,4.5,1.6,versicolor,7.2,v
86,0.6666666666666667,0.5,4.7,1.5,versicolor,7.050000000000001,v
87,0.5555555555555556,0.05555555555555536,4.4,1.3,versicolor,5.720000000000001,v
88,0.36111111111111094,0.4444444444444444,4.1,1.3,versicolor,5.33,v
89,0.33333333333333326,0.16666666666666652,4.0,1.3,versicolor,5.2,v
90,0.33333333333333326,0.22222222222222232,4.4,1.2,versicolor,5.28,v
91,0.4999999999999998,0.4444444444444444,4.6,1.4,versicolor,6.4399999999999995,v
92,0.4166666666666665,0.22222222222222232,4.0,1.2,versicolor,4.8,v
93,0.19444444444444442,0.05555555555555536,3.3,1.0,versicolor,3.3,v
94,0.36111111111111094,0.2777777777777779,4.2,1.3,versicolor,5.460000000000001,v
95,0.38888888888888884,0.4444444444444444,4.2,1.2,versicolor,5.04,v
96,0.38888888888888884,0.38888888888888884,4.2,1.3,versicolor,5.460000000000001,v
97,0.5277777777777779,0.38888888888888884,4.3,1.3,versicolor,5.59,v
98,0.2222222222222221,0.16666666666666652,3.0,1.1,versicolor,3.3000000000000003,v
99,0.38888888888888884,0.33333333333333326,4.1,1.3,versicolor,5.33,v
100,0.5555555555555556,0.6111111111111109,6.0,2.5,virginica,15.0,v
101,0.4166666666666665,0.2777777777777779,5.1,1.9,virginica,9.69,v
102,0.7777777777777777,0.4444444444444444,5.9,2.1,virginica,12.39,v
103,0.5555555555555556,0.38888888888888884,5.6,1.8,virginica,10.08,v
104,0.6111111111111112,0.4444444444444444,5.8,2.2,virginica,12.76,v
105,0.9166666666666665,0.4444444444444444,6.6,2.1,virginica,13.86,v
106,0.16666666666666674,0.16666666666666652,4.5,1.7,virginica,7.6499999999999995,v
107,0.833333333333333,0.38888888888888884,6.3,1.8,virginica,11.34,v
108,0.6666666666666667,0.16666666666666652,5.8,1.8,virginica,10.44,v
109,0.8055555555555556,0.7777777777777777,6.1,2.5,virginica,15.25,v
110,0.6111111111111112,0.5555555555555556,5.1,2.0,virginica,10.2,v
111,0.5833333333333335,0.2777777777777779,5.3,1.9,virginica,10.069999999999999,v
112,0.6944444444444444,0.4444444444444444,5.5,2.1,virginica,11.55,v
113,0.38888888888888884,0.16666666666666652,5.0,2.0,virginica,10.0,v
114,0.4166666666666665,0.33333333333333326,5.1,2.4,virginica,12.239999999999998,v
115,0.5833333333333335,0.5555555555555556,5.3,2.3,virginica,12.19,v
116,0.6111111111111112,0.4444444444444444,5.5,1.8,virginica,9.9,v
117,0.9444444444444442,0.8888888888888888,6.7,2.2,virginica,14.740000000000002,v
118,0.9444444444444442,0.22222222222222232,6.9,2.3,virginica,15.87,v
119,0.4722222222222223,0.0,5.0,1.5,virginica,7.5,v
120,0.7222222222222223,0.5555555555555556,5.7,2.3,virginica,13.11,v
121,0.36111111111111094,0.33333333333333326,4.9,2.0,virginica,9.8,v
122,0.9444444444444442,0.33333333333333326,6.7,2.0,virginica,13.4,v
123,0.5555555555555556,0.2777777777777779,4.9,1.8,virginica,8.82,v
124,0.6666666666666667,0.6111111111111109,5.7,2.1,virginica,11.97,v
125,0.8055555555555556,0.5555555555555556,6.0,1.8,virginica,10.8,v
126,0.5277777777777779,0.33333333333333326,4.8,1.8,virginica,8.64,v
127,0.4999999999999998,0.4444444444444444,4.9,1.8,virginica,8.82,v
128,0.5833333333333335,0.33333333333333326,5.6,2.1,virginica,11.76,v
129,0.8055555555555556,0.4444444444444444,5.8,1.6,virginica,9.28,v
130,0.8611111111111112,0.33333333333333326,6.1,1.9,virginica,11.589999999999998,v
131,1.0,0.8888888888888888,6.4,2.0,virginica,12.8,v
132,0.5833333333333335,0.33333333333333326,5.6,2.2,virginica,12.32,v
133,0.5555555555555556,0.33333333333333326,5.1,1.5,virginica,7.6499999999999995,v
134,0.4999999999999998,0.22222222222222232,5.6,1.4,virginica,7.839999999999999,v
135,0.9444444444444442,0.4444444444444444,6.1,2.3,virginica,14.029999999999998,v
136,0.5555555555555556,0.6666666666666665,5.6,2.4,virginica,13.44,v
137,0.5833333333333335,0.5,5.5,1.8,virginica,9.9,v
138,0.4722222222222223,0.4444444444444444,4.8,1.8,virginica,8.64,v
139,0.7222222222222223,0.5,5.4,2.1,virginica,11.340000000000002,v
140,0.6666666666666667,0.5,5.6,2.4,virginica,13.44,v
141,0.7222222222222223,0.5,5.1,2.3,virginica,11.729999999999999,v
143,0.6944444444444444,0.5555555555555556,5.9,2.3,virginica,13.57,v
144,0.6666666666666667,0.6111111111111109,5.7,2.5,virginica,14.25,v
145,0.6666666666666667,0.4444444444444444,5.2,2.3,virginica,11.959999999999999,v
146,0.5555555555555556,0.16666666666666652,5.0,1.9,virginica,9.5,v
147,0.6111111111111112,0.4444444444444444,5.2,2.0,virginica,10.4,v
148,0.5277777777777779,0.6666666666666665,5.4,2.3,virginica,12.42,v
149,0.44444444444444464,0.4444444444444444,5.1,1.8,virginica,9.18,v
